day	symbiosis	individual	name	pxl	mm2	condition
42	sym	p6	12	220022	48,48	starved
42	sym	p6	13	136697	30,12	starved
42	sym	p6	14	288397	63,54	starved
42	sym	p6	15	110289	24,30	starved
42	sym	p6	16	206445	45,49	starved
42	sym	p6	17	154822	34,11	starved
52	apo	p1	1	31478	6,94	starved
52	apo	p1	2	22900	5,05	starved
52	apo	p1	3	24223	5,34	starved
52	apo	p1	4	25934	5,71	starved
52	apo	p1	5	33789	7,44	starved
52	apo	p1	6	8999	1,98	starved
52	apo	p1	7	36216	7,98	starved
52	apo	p1	8	53963	11,89	starved
52	apo	p1	9	13514	2,98	starved
52	apo	p1	10	62354	13,74	starved
52	apo	p1	11	68911	15,18	starved
52	apo	p1	12	30975	6,82	starved
52	apo	p1	13	20049	4,42	starved
52	apo	p2	14	60613	13,36	starved
52	apo	p2	15	83408	18,38	starved
52	apo	p2	16	23567	5,19	starved
52	apo	p2	17	12805	2,82	starved
52	apo	p2	18	17618	3,88	starved
52	apo	p2	19	19870	4,38	starved
52	apo	p2	20	56634	12,48	starved
52	apo	p2	21	22313	4,92	starved
52	apo	p2	22	13527	2,98	starved
52	apo	p2	23	16203	3,57	starved
52	apo	p2	24	33378	7,35	starved
52	apo	p2	25	17356	3,82	starved
52	apo	p2	26	10540	2,32	starved
52	apo	p3	1	38181	8,41	starved
52	apo	p3	2	19987	4,40	starved
52	apo	p3	3	31781	7,00	starved
52	apo	p3	4	27088	5,97	starved
52	apo	p3	5	28245	6,22	starved
52	apo	p3	6	52373	11,54	starved
52	apo	p3	7	28982	6,39	starved
52	apo	p3	8	30492	6,72	starved
52	apo	p3	9	45769	10,08	starved
52	apo	p3	10	64591	14,23	starved
