,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3907,Cyclicfeeding_starving,10,P5_2,23.07,AL,FED,10,3.138533072185662
3908,Cyclicfeeding_starving,10,P5_3,27.49,AL,FED,10,3.3138223021771545
3909,Cyclicfeeding_starving,10,P5_4,22.27,AL,FED,10,3.1032404812692764
3910,Cyclicfeeding_starving,10,P5_5,27.12,AL,FED,10,3.3002714630721948
3911,Cyclicfeeding_starving,10,P5_6,17.1,AL,FED,10,2.8390784635086144
3912,Cyclicfeeding_starving,10,P6_1,17.3,AL,FED,10,2.8507065015037334
3913,Cyclicfeeding_starving,10,P6_2,12.72,AL,FED,10,2.543175557911976
3914,Cyclicfeeding_starving,10,P6_3,9.53,AL,FED,10,2.254444717666111
3915,Cyclicfeeding_starving,10,P6_4,12.33,AL,FED,10,2.512035317176253
3916,Cyclicfeeding_starving,10,P6_5,7.56,AL,FED,10,2.0228711901914416
3917,Cyclicfeeding_starving,10,P6_6,13.34,AL,FED,10,2.590767040487478
3918,Cyclicfeeding_starving,10,P7_1,13.36,AL,FED,10,2.5922651681085
3919,Cyclicfeeding_starving,10,P7_2,21.08,AL,FED,10,3.0483247236731614
3920,Cyclicfeeding_starving,10,P7_3,15.66,AL,FED,10,2.751109690562657
3921,Cyclicfeeding_starving,10,P7_4,14.61,AL,FED,10,2.681706225762608
3922,Cyclicfeeding_starving,10,P7_5,13.62,AL,FED,10,2.611539300721366
3923,Cyclicfeeding_starving,10,P7_6,14.36,AL,FED,10,2.664446563620078
3924,Cyclicfeeding_starving,10,P8_1,15.33,AL,FED,10,2.7298116928837226
3925,Cyclicfeeding_starving,10,P8_2,12.83,AL,FED,10,2.551786178627545
3926,Cyclicfeeding_starving,10,P8_3,14.61,AL,FED,10,2.681706225762608
3927,Cyclicfeeding_starving,10,P8_4,16.79,AL,FED,10,2.8207834710894493
3928,Cyclicfeeding_starving,10,P8_5,14.84,AL,FED,10,2.6973262377392344
3929,Cyclicfeeding_starving,10,P8_6,21.24,AL,FED,10,3.055886196373738
3936,Cyclicfeeding_starving,12,P1_1,21.08,AL,STARVED,2,3.0483247236731614
3937,Cyclicfeeding_starving,12,P1_2,22.87,AL,STARVED,2,3.12982600803469
3938,Cyclicfeeding_starving,12,P1_3,13.56,AL,STARVED,2,2.6071242825122494
3939,Cyclicfeeding_starving,12,P1_4,10.48,AL,STARVED,2,2.349468678892896
3940,Cyclicfeeding_starving,12,P1_5,4.86,AL,STARVED,2,1.5810384379124025
3941,Cyclicfeeding_starving,12,P1_6,19.53,AL,STARVED,2,2.9719517448885875
3984,Cyclicfeeding_starving,12,P2_1,19.39,AL,STARVED,2,2.9647574692545606
3985,Cyclicfeeding_starving,12,P2_2,17.66,AL,STARVED,2,2.8713021951758138
3986,Cyclicfeeding_starving,12,P2_3,17.1,AL,STARVED,2,2.8390784635086144
3987,Cyclicfeeding_starving,12,P2_4,17.11,AL,STARVED,2,2.839663087904102
3988,Cyclicfeeding_starving,12,P2_5,16.63,AL,STARVED,2,2.811208293204836
3989,Cyclicfeeding_starving,12,P2_6,11.99,AL,STARVED,2,2.4840729690394228
3990,Cyclicfeeding_starving,12,P3_1,13.36,AL,STARVED,2,2.5922651681085
3991,Cyclicfeeding_starving,12,P3_2,19.59,AL,STARVED,2,2.9750192319564492
3992,Cyclicfeeding_starving,12,P3_3,16.66,AL,STARVED,2,2.8130106367386967
3993,Cyclicfeeding_starving,12,P3_4,15.07,AL,STARVED,2,2.712706012638404
3994,Cyclicfeeding_starving,12,P3_5,12.61,AL,STARVED,2,2.534490149976828
3995,Cyclicfeeding_starving,12,P3_6,10.83,AL,STARVED,2,2.382320061012899
3996,Cyclicfeeding_starving,12,P4_1,13.83,AL,STARVED,2,2.626840145676667
3997,Cyclicfeeding_starving,12,P4_2,16.93,AL,STARVED,2,2.829087196145044
3998,Cyclicfeeding_starving,12,P4_3,9.7,AL,STARVED,2,2.272125885509337
3999,Cyclicfeeding_starving,12,P4_4,25.36,AL,STARVED,2,3.233173129569025
4000,Cyclicfeeding_starving,12,P4_5,18.9,AL,STARVED,2,2.9391619220655967
4001,Cyclicfeeding_starving,12,P4_6,18.12,AL,STARVED,2,2.8970163006148333
4002,Cyclicfeeding_starving,12,P5_1,9.79,AL,STARVED,2,2.281361456542419
